"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"3d19b738-1ccf-4e49-a455-3afc6deb84c2","VIRGIL, AENEID, BOOK 3.txt","Near old Antandros, and at Ida's foot","char-offset:274","PLACE","http://pleiades.stoa.org/places/550433","Antandros|Antandros, Altınoluk Antandros","-0750/-0030","39.57209","26.7949","settlement","VERIFIED","","","",""
"33f774a0-ae61-49c1-b407-ff6b86e81e74","VIRGIL, AENEID, BOOK 3.txt","Thracia","char-offset:887","PLACE","http://pleiades.stoa.org/places/501574","*Porsulae/Maximianopolis|*Porsulae/Maximianopolis, Komotini","-0030/0640","41.128611","25.325278","settlement","VERIFIED","","","",""
"b1371fe6-75b1-4743-a36f-272b6b838ba2","VIRGIL, AENEID, BOOK 3.txt","Thracia","char-offset:3106","PLACE","http://pleiades.stoa.org/places/501574","*Porsulae/Maximianopolis|*Porsulae/Maximianopolis, Komotini","-0030/0640","41.128611","25.325278","settlement","VERIFIED","","","",""
"379dea9d-a7b3-4b85-beb3-a05711bc2785","VIRGIL, AENEID, BOOK 3.txt","Delian","char-offset:4658","PLACE","http://pleiades.stoa.org/places/599587","Sanctuary of Apollo on Delos|Delos (settlement)|Delos, Delos|Apollo, Apollo, Delos|Delos (island)|Delos Ins., Delos","-0750/0640","37.397274","25.268194","architecturalcomplex,sanctuary,monument,island,settlement,plaza","VERIFIED","","","",""
"bcc10025-ecaf-4d4c-b089-abdb961864a5","VIRGIL, AENEID, BOOK 3.txt","Delian","char-offset:7309","PLACE","http://pleiades.stoa.org/places/599587","Sanctuary of Apollo on Delos|Delos (settlement)|Delos, Delos|Apollo, Apollo, Delos|Delos (island)|Delos Ins., Delos","-0750/0640","37.397274","25.268194","architecturalcomplex,sanctuary,monument,island,settlement,plaza","VERIFIED","","","",""
"ef96d453-873d-49ff-a039-a262acd64aa6","VIRGIL, AENEID, BOOK 3.txt","Naxos","char-offset:7342","PLACE","http://pleiades.stoa.org/places/599821","Naxos|Naxos, Naxos","-0750/0640","37.10595","25.37699","settlement","VERIFIED","","","",""
"3499cc89-0e9b-4bc0-812d-08ba20391c9e","VIRGIL, AENEID, BOOK 3.txt","Donysa","char-offset:7393","PLACE","http://pleiades.stoa.org/places/599596","Donousa (island)|Donousa Ins., Donoussa","","37.11396","25.81481","island","VERIFIED","","","",""
"1ac01fb1-2950-4392-b807-8c970b3b85bc","VIRGIL, AENEID, BOOK 3.txt","Paros","char-offset:7427","PLACE","http://pleiades.stoa.org/places/599867","Paros|Paros, Parikia","-0750/0640","37.08579","25.150728","settlement","VERIFIED","","","",""
"e68eaefb-36c4-408d-b901-fe2a2896ca9e","VIRGIL, AENEID, BOOK 3.txt","Cyclades","char-offset:7499","PLACE","http://pleiades.stoa.org/places/560353","Cyclades Islands","-0030/0300","37.0415464153846","25.139512376923083","island,archipelago","VERIFIED","","","",""
"d5992d98-ac53-4993-acfd-4dfc3af2e440","VIRGIL, AENEID, BOOK 3.txt","Cretan","char-offset:7822","PLACE","http://pleiades.stoa.org/places/589748","Creta (island)","-0750/2100","35.21984439173344","24.995769971494504","island","VERIFIED","","","",""
"62335526-c90c-4d8b-9e69-3ad2d6ddd307","VIRGIL, AENEID, BOOK 3.txt","Delian","char-offset:8969","PLACE","http://pleiades.stoa.org/places/599587","Sanctuary of Apollo on Delos|Delos (settlement)|Delos, Delos|Apollo, Apollo, Delos|Delos (island)|Delos Ins., Delos","-0750/0640","37.397274","25.268194","architecturalcomplex,sanctuary,monument,island,settlement,plaza","VERIFIED","","","",""
"26af7356-09a4-457e-a385-e84c7ff296e0","VIRGIL, AENEID, BOOK 3.txt","Delian","char-offset:9484","PLACE","http://pleiades.stoa.org/places/599587","Sanctuary of Apollo on Delos|Delos (settlement)|Delos, Delos|Apollo, Apollo, Delos|Delos (island)|Delos Ins., Delos","-0750/0640","37.397274","25.268194","architecturalcomplex,sanctuary,monument,island,settlement,plaza","VERIFIED","","","",""
